Query,Author,Title,Poem,Link,,,,
emily dickinson,Chad Bennett,Emily Dickinson,"['wrote 366 poems', 'in the 365 days', 'of 1862', 'she sewed them together', 'in 20 or so fascicles', '“fascicle” just means', 'little bundle,', 'like “faggot”', 'she was 32, her brain ablaze', 'like some god-awful star', 'once I felt', 'like anything', 'could happen']",['/poems/161337/emily-dickinson-651df23c4920e'],,,,
emily dickinson,Dan Vera,Emily Dickinson at the Poetry Slam,"['I will tell you why she rarely ventured from her house.', 'It happened like this:', 'One day she took the train to Boston,', 'made her way to the darkened room,', 'put her name down in cursive script', 'and waited her turn.', 'When they read her name aloud', 'she made her way to the stage', 'straightened the papers in her hands—', 'pages and envelopes, the backs of grocery bills,', 'she closed her eyes for a minute,', 'took a breath,', 'and began.', 'From her mouth perfect words exploded,', 'intact formulas of light and darkness.', 'She dared to rhyme with words like cochineal', 'and described the skies like diadem.', 'Obscurely worded incantations filled the room', 'with an alchemy that made the very molecules quake.', 'The solitary words she handled', 'in her upstairs room with keen precision', 'came rumbling out to make the electric lights flicker.', '40 members of the audience', 'were treated for hypertension.', '20 year old dark haired beauties found their heads', 'had turned a Moses White.', 'Her second poem erased the memory of every cellphone', 'in the nightclub,', 'and by the fourth line of the sixth verse', 'the grandmother in the upstairs apartment', 'had been cured of her rheumatism.', 'The papers reported the power outages.', 'The area hospitals taxed their emergency generators', 'and sirens were heard to wail through the night.', 'Quietly she made her way to the exit,', 'walked to the terminal and rode back to Amherst.', 'She never left her room again', 'and never read such syllables aloud.']",['/poems/153025/emily-dickinson-at-the-poetry-slam'],,,,
emily dickinson,Irene McKinney,The Only Portrait of Emily Dickinson,"['The straight neck held up out of the lace', 'is bound with a black velvet band.', 'She holds her mouth the way she chooses,', 'the full underlip constrained by a small muscle.', 'She doesn’t blink or look aside,', 'although her left eye is considering', 'a slant. She would smile', 'if she had time, but right now', 'there is composure to be invented.', 'She stares at the photographer.', 'The black crepe settles. Emerging', 'from the sleeve, a shapely hand', 'holds out a white, translucent blossom.', '“They always say things which embarrass', 'my dog,” she tells the photographer.', 'She is amused, but not as much as he’d like.']",['/poems/52907/the-only-portrait-of-emily-dickinson'],,,,
emily dickinson,Emily Dickinson,Fame is the one that does not stay — (1507),"['Fame is the one that does not stay —', ""It's occupant must die"", 'Or out of sight of estimate', 'Ascend incessantly —', 'Or be that most insolvent thing', 'A Lightning in the Germ —', 'Electrical the embryo', 'But we demand the Flame']",['/poems/56826/fame-is-the-one-that-does-not-stay-1507'],,,,
emily dickinson,Emily Dickinson,Now I knew I lost her — (1274),"['Now I knew I lost her —', 'Not that she was gone —', 'But Remoteness travelled', 'On her Face and Tongue.', 'Alien, though adjoining', 'As a Foreign Race —', 'Traversed she though pausing', 'Latitudeless Place.', 'Elements Unaltered —', 'Universe the same', ""But Love's transmigration —"", 'Somehow this had come —', 'Henceforth to remember', 'Nature took the Day', 'I had paid so much for —', 'His is Penury', 'Not who toils for Freedom', 'Or for Family', 'But the Restitution', 'Of Idolatry.']",['/poems/56825/now-i-knew-i-lost-her-1274'],,,,
emily dickinson,Emily Dickinson,Tell all the truth but tell it slant — (1263),"['Tell all the truth but tell it slant —', 'Success in Circuit lies', 'Too bright for our infirm Delight', ""The Truth's superb surprise"", 'As Lightning to the Children eased', 'With explanation kind', 'The Truth must dazzle gradually', 'Or every man be blind —']",['/poems/56824/tell-all-the-truth-but-tell-it-slant-1263'],,,,
emily dickinson,Emily Dickinson,Crumbling is not an instant's Act (1010),"[""Crumbling is not an instant's Act"", 'A fundamental pause', ""Dilapidation's processes"", 'Are organized Decays —', ""'Tis first a Cobweb on the Soul"", 'A Cuticle of Dust', 'A Borer in the Axis', 'An Elemental Rust —', ""Ruin is formal — Devil's work"", 'Consecutive and slow —', 'Fail in an instant, no man did', ""Slipping — is Crashe's law —""]",['/poems/56823/crumbling-is-not-an-instants-act-1010'],,,,
emily dickinson,Emily Dickinson,The Poets light but Lamps — (930),"['The Poets light but Lamps —', 'Themselves — go out —', 'The Wicks they stimulate', 'If vital Light', 'Inhere as do the Suns —', 'Each Age a Lens', 'Disseminating their', 'Circumference —']",['/poems/56822/the-poets-light-but-lamps-930'],,,,
emily dickinson,Emily Dickinson,I would not paint — a picture — (348),"['I would not paint — a picture —', ""I'd rather be the One"", ""It's bright impossibility"", 'To dwell — delicious — on —', 'And wonder how the fingers feel', 'Whose rare — celestial — stir —', 'Evokes so sweet a torment —', 'Such sumptuous — Despair —', 'I would not talk, like Cornets —', ""I'd rather be the One"", 'Raised softly to the Ceilings —', 'And out, and easy on —', 'Through Villages of Ether —', 'Myself endued Balloon', 'By but a lip of Metal —', 'The pier to my Pontoon —', 'Nor would I be a Poet —', ""It's finer — Own the Ear —"", 'Enamored — impotent — content —', 'The License to revere,', 'A privilege so awful', 'What would the Dower be,', 'Had I the Art to stun myself', 'With Bolts — of Melody!']",['/poems/56821/i-would-not-paint-a-picture-348'],,,,
emily dickinson,Emily Dickinson,"A Bird, came down the Walk - (359)","['A Bird, came down the Walk -', 'He did not know I saw -', 'He bit an Angle Worm in halves', 'And ate the fellow, raw,', 'And then, he drank a Dew', 'From a convenient Grass -', 'And then hopped sidewise to the Wall', 'To let a Beetle pass -', 'He glanced with rapid eyes,', 'That hurried all abroad -', 'They looked like frightened Beads, I thought,', 'He stirred his Velvet Head. -', 'Like one in danger, Cautious,', 'I offered him a Crumb,', 'And he unrolled his feathers,', 'And rowed him softer Home -', 'Than Oars divide the Ocean,', 'Too silver for a seam,', 'Or Butterflies, off Banks of Noon,', 'Leap, plashless as they swim.']",['/poems/56593/a-bird-came-down-the-walk-359'],,,,
